"","SLY_SPI","SLY_SHA","SLY_SPE","SPI_SHA","SPI_SPE","SHA_SPE"
"Solyc09g014940.1.1",1,0.417195422238932,0.000420865345795121,0.824322876883707,0.000315558561898355,0.000775338874061177
"Solyc06g008700.2.1",1,0.265553727941186,0.000355099591206101,1,0.000851722018098885,3.66632495341541e-05
"Solyc01g090590.2.1",1,1,0.0115216570891454,0.0469614240843722,0.032389207376532,0.00162172084594629
"Solyc04g050440.2.1",1,0.00111891931959206,0.000172091086585295,0.00298632718810271,0.000512241678707397,1
"Solyc04g074090.2.1",0.0102939266616893,0.473190012596029,0.000474652358220245,1,1.93828572232651e-05,0.000121011442286279
"Solyc01g014320.2.1",1,0.308846722108396,0.000924395620774618,0.66073777768972,0.000172083786768609,0.560440536595438
"Solyc02g079950.2.1",1,0.0237309466688217,1,0.0175429557409976,1,0.061153455259658
"Solyc01g099380.2.1",1,1,0.00125242846124810,1,0.00284115464841698,0.0126524345553513
"Solyc03g083960.2.1",1,8.00812595648004e-05,0.306687416492575,1.80933884097875e-05,1,1.32258082596361e-05
"Solyc06g035960.2.1",1,0.334500721060028,0.0260582034357959,0.0288870371780945,0.00679151049555279,0.340613464936925
