"","SLY","SPI","SHA","SPE"
"Solyc10g047200.1.1",7.7142857142857,7,6.28571428571428,10.1428571428571
"Solyc06g053590.2.1",135.857142857143,147.714285714286,140,139.285714285714
"Solyc06g030580.2.1",40.9999999999999,57.4285714285713,57.8571428571427,52.5714285714285
"Solyc11g007700.1.1",7.42857142857594,6.71428571428615,8.1428571428649,4.42857142857144
"Solyc05g026070.1.1",6.42857142860474,5.71428571428571,7.5714285714289,6.57142857142857
"Solyc10g006370.2.1",91.428571428689,158.000000000005,139.285714285716,147.714285714286
"Solyc07g025160.2.1",52.142857142857,69.5714285714284,27.4285714286014,52.8571428571428
"Solyc07g018180.1.1",4,3.85714285714286,5.71428571428572,4.13993771878229e-09
"Solyc05g012570.2.1",0.857142865397642,1.00000000012756,1.57142857142861,1.28571428608500
"Solyc08g042050.2.1",625.857142857145,778.428571428572,684.142857142858,426.857142857144
"Solyc06g066710.1.1",2.00000000000019,2,1.57142857142861,1.14285714380817
"Solyc12g005190.1.1",37.5714285714286,58.2857142857143,41.5714285714286,43.1428571428572
"Solyc01g104010.2.1",14.1428571428571,8,5.85714285714285,6.85714285714286
"Solyc01g094010.2.1",61.1428571428571,54.2857142857143,59.2857142857142,66.7142857142857
"Solyc02g014500.1.1",1.42857142857143,1.14285714285714,1.71428571428571,0.714285714285771
"Solyc04g076820.1.1",85.2857142857141,62.2857142857142,64.1428571428571,159.285714285816
"Solyc03g119540.2.1",409.428571428572,354,185.285714285717,227.857142857147
"Solyc04g054700.2.1",18.1428571428571,15.2857142857144,19.7142857142857,20.8571428571429
"Solyc03g034060.2.1",4.42857142857143,0.857142857142858,0.714285714285772,2
